"iid","name_"
"IID000000002162541","COMPAGNIA IMMOBILIARE AZIONARIA S.P.A."
"IID000000002124596","WARABEYA NICHIYO CO., LTD."
"IID000000002132951","APPROACH RESOURCES INC."
"IID000000002132461","SINO OIL AND GAS HOLDINGS LIMITED"
"IID000000002186183","Tangerine Beach Hotels PLC"
"IID000000002130858","Enel Distribucion Peru S.A.A."
"IID000000002157077","AMBAC FINANCIAL GROUP, INC."
"IID000000002175401","Meritz Fire & Marine Insurance CO., Ltd"
"IID000000002162221","CLEVELAND BIOLABS, INC."
"IID000000002169048","HAVAS S.A."
"IID000000002223563","DIAGEO INVESTMENT CORPORATION"
"IID000000002140895","ROHM COMPANY LIMITED"
"IID000000002149997","New World China Land Limited"
"IID000000002142340","STARTS CORPORATION INC."
"IID000000002130109","Citic Guoan Wine Co., Ltd."
"IID000000002155578","AIN HOLDINGS INC."
"IID000000002142746","Reliant Bancorp, Inc."
"IID000000002188777","VICOR CORPORATION"
"IID000000002187122","TOTAL ENERGY SERVICES INC."
"IID000000002174360","AKWEL S.A."
"IID000000002185800","TOAGOSEI CO., LTD."
"IID000000002215470","Hedge Brasil Shopping FI Imobiliario"
"IID000000002189944","Xinjiang Xinxin Mining Industry Co., Ltd."
"IID000000002178170","CASCADIAN THERAPEUTICS, INC."
"IID000000002170105","ISEKI&CO., LTD."
"IID000000002150233","TOURISM HOLDINGS LIMITED"
"IID000000002141339","Aksa Akrilik Kimya Sanayii AS"
"IID000000002179861","POLYONE CORPORATION"
"IID000000002163856","DELTA AIR LINES, INC."
"IID000000002154938","Intermail A/S"
"IID000000002165162","ELKEM ASA"
"IID000000002160589","CLARION CO.,LTD."
"IID000000002125129","CLECO CORPORATION"
"IID000000002128843","SONGA OFFSHORE SE"
"IID000000002149512","WACOAL HOLDINGS CORP."
"IID000000002136413","BAHRAIN TELECOMMUNICATIONS COMPANY B.S.C"
"IID000000002162153","Citychamp Dartong Co., Ltd."
"IID000000002163773","DEVRY EDUCATION GROUP INC."
"IID000000002227071","MERIDIAN FUNDING COMPANY, LLC"
"IID000000002202154","Parkway Life REIT"
"IID000000002173762","Lianhua Supermarket Co Ltd"
"IID000000002166444","FINCORP INVESTMENT LIMITED"
"IID000000002151305","FLYTECH TECHNOLOGY CO.,LTD."
"IID000000002189161","LAFARGE AFRICA PLC"
"IID000000002155923","Abengoa, S.A."
"IID000000002133215","AOYAMA TRADING Co., Ltd."
"IID000000002228535","WILLIS NORTH AMERICA INC."
"IID000000002185234","Suncor Energy Inc."
"IID000000002129728","SOFT-WORLD INTERNATIONAL CORPORATION"
"IID000000002228498","Landesbank Berlin AG"
"IID000000002180008","ALTERITY THERAPEUTICS LIMITED"
"IID000000002169670","HUADONG MEDICINE CO .,LTD"
"IID000000002154296","UNITED-GUARDIAN, INC."
"IID000000002154736","SYMBION, INC."
"IID000000002187433","TRIGANO SA"
"IID000000002138350","POSCO-Thainox Public Company Limited"
"IID000000002140656","PACIFIC CENTURY PREMIUM DEVELOPMENTS LIMITED"
"IID000000002186860","Tianjin Zhongxin Pharmaceutical Group Corporation Limited"
"IID000000002142399","THINKING ELECTRONIC INDUSTRIAL CO., LTD"
"IID000000002201641","ROVI CORPORATION"
"IID000000002130814","Synergie SA"
"IID000000002189834","Wumart Stores, Inc."
"IID000000002179085","Parmalat S.p.A."
"IID000000002160323","Burgan Bank (K.P.S.C)"
"IID000000002125609","FRASERS CENTREPOINT LIMITED"
"IID000000002190160","YOULCHON CHEMICAL CO.,LTD"
"IID000000002132930","AROTECH CORPORATION"
"IID000000002140213","LABORATORY CORPORATION OF AMERICA HOLDINGS"
"IID000000002137341","UNITED UTILITIES GROUP PLC"
"IID000000002227407","HSBC BANK ARGENTINA SOCIEDAD ANONIMA"
"IID000000002174367","MGP INGREDIENTS, INC."
"IID000000002168953","HANWHA CORP"
"IID000000002126344","FEDERAL-MOGUL CORPORATION"
"IID000000002190333","ZAPSIBKOMBANK PAO"
"IID000000002182608","Samyang Corporation"
"IID000000002149593","Sumitomo Real Estate Sales Co., Ltd."
"IID000000002223267","Best Foods, Inc."
"IID000000002199408","CHARTER HALL EDUCATION TRUST"
"IID000000002200696","DUKE ENERGY FLORIDA, LLC"
"IID000000002165519","ENZO BIOCHEM, INC."
"IID000000002142944","Grupo Catalana Occidente, S.A."
"IID000000002174332","Meiko Network Japan Co Ltd"
"IID000000002128295","Delticom AG"
"IID000000002159828","Blue Label Telecoms Ltd"
"IID000000002177765","Nurminen Logistics Oyj"
"IID000000002176642","NYSE EURONEXT"
"IID000000002223290","Banque africaine de developpement"
"IID000000002175672","AURORA CANNABIS INC."
"IID000000002138955","Fuso Chemical Co Ltd"
"IID000000002164460","DUBAI INVESTMENTS (P.J.S.C)"
"IID000000002174789","MANPOWERGROUP INC."
"IID000000002160169","British American Tobacco Zimbabwe (Holdings) Ltd"
"IID000000002128718","UNITED BANKSHARES, INC."
"IID000000002227306","EBN B.V."
"IID000000002176014","MONEYSUPERMARKET.COM GROUP PLC"
"IID000000002150860","DSV Panalpina A/S"
"IID000000002186542","Tennant Company"
"IID000000002155659","AMERICAN AIRLINES GROUP INC."
"IID000000002222090","Raiffeisen Centrobank AG"
"IID000000002228609","SOJITZ CORPORATION OF AMERICA"
"IID000000002178376","Oriola-KD Oyj"
"IID000000002169674","HUAKU DEVELOPMENT CO., LTD."
"IID000000002227480","THAMES WATER UTILITIES FINANCE LIMITED"
"IID000000002143940","OKB im. A.S. Yakovleva OAO"
